�,date,city,home_team,away_team,home_ft,away_ft,tournament
"1914-07-12,""Kristiania, Norway"",Norway,Russia,1,1,Friendly"
"1914-08-30,""Montevideo, Uruguay"",Uruguay,Argentina,3,2,Copa Premio Honor Uruguayo"
"1914-09-13,""Buenos Aires, Argentina"",Argentina,Uruguay,2,1,Copa Premio Honor Argentino"
"1914-09-20,""Buenos Aires, Argentina"",Argentina,Brazil,3,0,Friendly"
"1914-09-27,""Buenos Aires, Argentina"",Argentina,Brazil,0,1,Copa Roca"
"1914-10-04,""Budapest, Hungary"",Hungary,Austria,2,2,Friendly"
"1914-10-25,""Solna, Sweden"",Sweden,Norway,7,0,Friendly"
"1914-11-08,""Vienna, Austria"",Austria,Hungary,1,2,Friendly"
"1915-01-31,""Turin, Italy"",Italy,Switzerland,3,1,Friendly"
"1915-05-02,""Budapest, Hungary"",Hungary,Austria,2,5,Friendly"
"1915-05-30,""Vienna, Austria"",Austria,Hungary,1,2,Friendly"
"1915-06-06,""Copenhagen, Denmark"",Denmark,Sweden,2,0,Friendly"
"1915-06-27,""Kristiania, Norway"",Norway,Sweden,1,1,Friendly"
"1915-07-18,""Montevideo, Uruguay"",Uruguay,Argentina,2,3,Copa Premio Honor Uruguayo"
"1915-08-15,""Buenos Aires, Argentina"",Argentina,Uruguay,2,1,Copa Lipton"
"1915-09-12,""Montevideo, Uruguay"",Uruguay,Argentina,2,0,Copa Newton"
"1915-09-19,""Copenhagen, Denmark"",Denmark,Norway,8,1,Friendly"
"1915-10-03,""Vienna, Austria"",Austria,Hungary,4,2,Friendly"
"1915-10-24,""Stockholm, Sweden"",Sweden,Norway,5,2,Friendly"
"1915-10-31,""Stockholm, Sweden"",Sweden,Denmark,0,2,Friendly"
"1915-11-07,""Budapest, Hungary"",Hungary,Austria,6,2,Friendly"
"1916-05-07,""Vienna, Austria"",Austria,Hungary,3,1,Friendly"
"1916-06-04,""Budapest, Hungary"",Hungary,Austria,2,1,Friendly"
"1916-06-04,""Copenhagen, Denmark"",Denmark,Sweden,2,0,Friendly"
"1916-06-25,""Kristiania, Norway"",Norway,Denmark,0,2,Friendly"
"1916-07-02,""Stockholm, Sweden"",Sweden,Norway,6,0,Friendly"
"1916-07-06,""Buenos Aires, Argentina"",Argentina,Chile,6,1,Copa América"
"1916-07-10,""Buenos Aires, Argentina"",Argentina,Brazil,1,1,Copa América"
"1916-07-12,""Buenos Aires, Argentina"",Argentina,Chile,1,0,Friendly"
"1916-07-17,""Avellaneda, Argentina"",Argentina,Uruguay,0,0,Copa América"
"1916-08-15,""Montevideo, Uruguay"",Uruguay,Argentina,1,2,Copa Lipton"
"1916-08-15,""Avellaneda, Argentina"",Argentina,Uruguay,3,1,Copa Newton"
"1916-10-01,""Budapest, Hungary"",Hungary,Austria,2,3,Friendly"
"1916-10-01,""Kristiania, Norway"",Norway,Sweden,0,0,Friendly"
"1916-10-01,""Montevideo, Uruguay"",Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo"
"1916-10-01,""Avellaneda, Argentina"",Argentina,Uruguay,7,2,Friendly"
"1916-10-08,""Stockholm, Sweden"",Sweden,Denmark,4,0,Friendly"
"1916-10-15,""Copenhagen, Denmark"",Denmark,Norway,8,0,Friendly"
"1916-10-29,""Montevideo, Uruguay"",Uruguay,Argentina,3,1,Friendly"
"1916-11-05,""Vienna, Austria"",Austria,Hungary,3,3,Friendly"
"1917-05-06,""Vienna, Austria"",Austria,Hungary,1,1,Friendly"
"1917-05-07,""Tokyo, Japan"",Japan,Philippines,2,15,Friendly"
"1917-06-03,""Budapest, Hungary"",Hungary,Austria,6,2,Friendly"
"1917-06-03,""Copenhagen, Denmark"",Denmark,Sweden,1,1,Friendly"
